# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Mar 10 10:54:29 2025
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_sma:        Orbit Semi-Major Axis [au]
# COLUMN koi_sma_err1:   Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN koi_sma_err2:   Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN koi_incl:       Inclination [deg]
# COLUMN koi_incl_err1:  Inclination Upper Unc. [deg]
# COLUMN koi_incl_err2:  Inclination Lower Unc. [deg]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_smet:       Stellar Metallicity [dex]
# COLUMN koi_smet_err1:  Stellar Metallicity Upper Unc. [dex]
# COLUMN koi_smet_err2:  Stellar Metallicity Lower Unc. [dex]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_period_err1,koi_period_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,2.470613377,2.7000000e-08,-2.7000000e-08,1.4231e+04,4.200e+00,-4.200e+00,13.04,5.100e-01,-5.100e-01,0.0354,,,84.41,,,1339.0,,,761.46,106.21,-95.76,5820.00,78.00,-78.00,-0.0600,0.1500,-0.1500,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560,286.808470,49.316399,11.338
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,2.204735417,4.3000000e-08,-4.3000000e-08,6.6747e+03,1.700e+00,-1.700e+00,16.10,8.100e-01,-9.100e-01,0.0376,,,87.21,,,2048.0,,,4148.92,651.59,-654.46,6440.00,76.00,-89.00,0.1400,0.1500,-0.1500,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910,292.247280,47.969521,10.463
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.9980,3.522498429,1.9800000e-07,-1.9800000e-07,9.1457e+03,6.600e+00,-6.600e+00,14.59,1.110e+00,-1.110e+00,0.0473,,,85.20,,,1521.0,,,1264.67,307.23,-276.48,6225.00,112.00,-137.00,-0.0400,0.1500,-0.1500,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780,281.288120,42.451080,13.563
10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0000,3.709214104,6.5360000e-06,-6.5360000e-06,1.3110e+02,3.000e+00,-3.000e+00,1.16,1.700e-01,-1.200e-01,0.0465,,,89.73,,,1206.0,,,500.46,197.96,-130.54,5833.00,105.00,-117.00,-0.0400,0.1500,-0.1500,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660,295.648710,48.495560,12.772
10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,11.521446064,1.9800000e-06,-1.9800000e-06,1.7984e+04,3.190e+01,-3.190e+01,150.51,3.976e+01,-1.331e+01,0.0978,,,83.13,,,753.0,,,75.88,58.89,-19.99,5795.00,155.00,-172.00,-0.2000,0.2500,-0.3000,0.8480,0.2240,-0.0750,0.9380,0.0980,-0.1090,297.079930,47.597401,15.472
10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.403937760,2.0680000e-05,-2.0680000e-05,8.9187e+03,5.330e+01,-5.330e+01,7.18,7.600e-01,-6.800e-01,0.1230,,,84.93,,,523.0,,,17.69,6.66,-4.88,5043.00,151.00,-151.00,-0.5400,0.3500,-0.3000,0.6800,0.0720,-0.0650,0.6570,0.0850,-0.0360,289.258210,47.635319,15.487
10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.221388942,1.1230000e-06,-1.1230000e-06,7.4284e+04,2.190e+01,-2.190e+01,49.29,1.603e+01,-5.000e+00,0.1417,,,88.05,,,698.0,,,55.97,54.55,-16.40,6117.00,182.00,-200.00,-0.2200,0.2500,-0.3500,0.9470,0.3080,-0.0960,1.0250,0.1390,-0.1390,295.814540,47.690350,15.341
10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,16.469837740,1.3610000e-05,-1.3610000e-05,1.0479e+04,3.990e+01,-3.990e+01,7.94,8.900e-01,-8.900e-01,0.1147,,,88.81,,,595.0,,,29.61,12.01,-8.91,5152.00,168.00,-153.00,-0.2000,0.3000,-0.3000,0.7860,0.0880,-0.0880,0.7410,0.1060,-0.0570,297.154420,47.668701,15.788
10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0000,9.273581730,1.0370000e-05,-1.0370000e-05,1.2883e+03,1.680e+01,-1.680e+01,2.47,2.000e-01,-2.400e-01,0.0759,,,88.93,,,649.0,,,41.85,12.49,-11.70,4856.00,131.00,-146.00,-0.3000,0.3000,-0.3000,0.6960,0.0560,-0.0680,0.6760,0.0880,-0.0470,288.138240,47.724449,15.302
10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0000,6.029303290,5.5090000e-06,-5.5090000e-06,1.9127e+03,3.440e+01,-3.440e+01,2.85,2.600e-01,-1.500e-01,0.0585,,,89.50,,,678.0,,,50.04,16.40,-9.88,4537.00,123.00,-123.00,0.2100,0.2000,-0.3000,0.6720,0.0620,-0.0360,0.7610,0.0330,-0.0670,283.710880,47.863270,15.784
10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.696370652,7.5340000e-06,-7.5340000e-06,3.9790e+02,9.500e+00,-9.500e+00,1.58,1.300e-01,-1.600e-01,0.0349,,,89.56,,,1066.0,,,305.34,96.64,-86.33,4989.00,149.00,-149.00,0.1000,0.2500,-0.3000,0.8190,0.0670,-0.0820,0.7810,0.0780,-0.0560,283.765470,47.804298,15.269
10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0000,5.349553819,8.8340000e-06,-8.8340000e-06,8.3100e+02,1.480e+01,-1.480e+01,2.55,1.600e-01,-2.400e-01,0.0563,,,89.62,,,919.0,,,168.99,34.66,-38.48,5185.00,85.00,-77.00,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,292.376130,47.880989,15.416
10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.9800,3.941052210,1.0940000e-05,-1.0940000e-05,3.6330e+02,1.390e+01,-1.390e+01,1.70,1.100e-01,-1.600e-01,0.0460,,,88.88,,,1018.0,,,253.15,51.91,-57.65,5185.00,85.00,-77.00,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,292.376130,47.880989,15.416
10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.9710,8.109048070,6.7870000e-05,-6.7870000e-05,2.1740e+02,1.680e+01,-1.680e+01,1.30,9.000e-02,-1.200e-01,0.0743,,,89.92,,,800.0,,,97.03,19.90,-22.09,5185.00,85.00,-77.00,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320,292.376130,47.880989,15.416
2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,386.603052800,1.3690000e-04,-1.3690000e-04,2.4927e+04,4.580e+01,-4.580e+01,41.50,1.680e+00,-1.680e+00,1.0719,,,89.95,,,297.0,,,1.84,0.26,-0.24,5543.00,79.00,-79.00,0.4400,0.1010,-0.1010,1.5800,0.0640,-0.0640,1.1030,0.0970,-0.0970,292.273740,37.671558,12.394
10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0000,21.676991930,7.0100000e-05,-7.0100000e-05,8.5720e+02,2.710e+01,-2.710e+01,2.95,1.200e-01,-2.300e-01,0.1408,,,87.91,,,530.0,,,18.64,2.78,-3.80,4954.00,79.00,-79.00,0.1800,0.1500,-0.1500,0.8280,0.0320,-0.0650,0.7910,0.0500,-0.0290,290.465120,47.929180,15.377
10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0000,4.996779680,1.3890000e-05,-1.3890000e-05,9.3470e+02,3.970e+01,-3.970e+01,2.78,5.200e-01,-2.300e-01,0.0559,,,86.90,,,917.0,,,166.95,102.06,-42.14,5339.00,175.00,-159.00,0.1800,0.2000,-0.3000,0.8470,0.1610,-0.0690,0.9310,0.0630,-0.0940,297.808260,47.946671,15.861
11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1.0000,4.280963604,6.1410000e-06,-6.1410000e-06,7.5080e+02,1.410e+01,-1.410e+01,2.30,5.800e-01,-1.900e-01,0.0503,,,87.72,,,1012.0,,,247.87,182.24,-63.32,5644.00,152.00,-169.00,-0.1400,0.3000,-0.3000,0.8310,0.2070,-0.0690,0.9280,0.0940,-0.1150,294.265810,49.314091,15.356
11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1.506354090,4.7000000e-07,-4.7000000e-07,2.2117e+03,1.830e+01,-1.830e+01,4.53,1.010e+00,-4.400e-01,0.0250,,,79.38,,,1452.0,,,1054.12,703.10,-292.26,5714.00,155.00,-172.00,-0.2000,0.3000,-0.3000,0.8310,0.1860,-0.0800,0.9260,0.0900,-0.1100,295.665220,49.351009,15.525
11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,670.645531000,1.2370000e-03,-1.2370000e-03,1.8091e+04,3.350e+01,-3.350e+01,14.14,2.130e+00,-7.100e-01,1.5155,,,89.53,,,196.0,,,0.35,0.15,-0.06,5520.00,100.00,-111.00,0.4800,0.0500,-0.1500,0.9830,0.1480,-0.0490,1.0300,0.0420,-0.0580,296.698610,49.316479,15.207
11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,61.256362800,1.5600000e-04,-1.5600000e-04,5.1233e+03,7.060e+01,-7.060e+01,39.87,1.279e+01,-5.480e+00,0.3137,,,87.54,,,505.0,,,15.43,14.85,-5.51,6144.00,184.00,-220.00,0.0000,0.2500,-0.3000,1.0910,0.3500,-0.1500,1.0930,0.1660,-0.1350,283.725920,49.479519,15.250
11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1.0000,38.377548600,1.6020000e-04,-1.6020000e-04,7.2420e+02,2.340e+01,-2.340e+01,2.82,3.700e-01,-3.400e-01,0.2163,,,89.44,,,529.0,,,18.53,6.72,-4.93,5481.00,82.00,-74.00,0.1600,0.1500,-0.1500,1.0360,0.1380,-0.1240,0.9150,0.0610,-0.0420,291.722020,49.480869,15.172
10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.9920,41.197255020,9.3450000e-05,-9.3450000e-05,2.2139e+03,4.550e+01,-4.550e+01,3.86,1.500e-01,-3.300e-01,0.2170,,,89.96,,,439.0,,,8.76,1.27,-1.90,5031.00,75.00,-83.00,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,286.999480,48.375790,15.841
10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1.0000,6.252962249,9.5770000e-06,-9.5770000e-06,1.0369e+03,2.450e+01,-2.450e+01,2.65,1.000e-01,-2.300e-01,0.0617,,,89.68,,,823.0,,,108.30,15.73,-23.44,5031.00,75.00,-83.00,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300,286.999480,48.375790,15.841
10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1.0000,16.013084190,4.8540000e-05,-4.8540000e-05,1.1219e+03,3.940e+01,-3.940e+01,3.10,3.400e-01,-3.100e-01,0.1148,,,88.14,,,593.0,,,29.31,11.77,-8.24,5015.00,164.00,-149.00,0.1000,0.2500,-0.2500,0.8260,0.0910,-0.0820,0.7850,0.0850,-0.0560,297.025630,48.478588,15.390
11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1.0000,32.628766720,5.8010000e-05,-5.8010000e-05,1.8048e+03,2.540e+01,-2.540e+01,3.36,7.600e-01,-3.300e-01,0.1889,,,89.98,,,506.0,,,15.55,10.51,-4.18,5586.00,152.00,-152.00,-0.3000,0.3000,-0.3000,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780,285.718540,48.505859,15.082
11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.9780,91.773286200,7.5180000e-04,-7.5180000e-04,6.5200e+02,3.620e+01,-3.620e+01,2.12,4.800e-01,-2.100e-01,0.3764,,,89.61,,,359.0,,,3.92,2.64,-1.06,5586.00,152.00,-152.00,-0.3000,0.3000,-0.3000,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780,285.718540,48.505859,15.082
11138155,K00760.01,Kepler-1976 b,CONFIRMED,CANDIDATE,1.0000,4.959319244,5.1500000e-07,-5.1500000e-07,9.8020e+03,2.000e+01,-2.000e+01,12.21,1.960e+00,-1.460e+00,0.0565,,,86.15,,,1103.0,,,349.40,146.52,-93.21,5712.00,77.00,-77.00,0.1000,0.1500,-0.1500,1.0820,0.1730,-0.1300,0.9760,0.0730,-0.0550,292.167050,48.727589,15.263
11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,2.701287801,5.6340000e-06,-5.6340000e-06,8.6040e+02,2.090e+01,-2.090e+01,6.54,1.640e+00,-7.500e-01,0.0365,,,62.69,,,1222.0,,,527.81,411.33,-166.35,5550.00,182.00,-182.00,-0.0400,0.3000,-0.3000,0.9100,0.2280,-0.1050,0.8890,0.1020,-0.0830,297.923650,48.777321,15.540
11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1.0000,4.498765110,1.7770000e-05,-1.7770000e-05,4.6000e+02,1.750e+01,-1.750e+01,2.10,6.500e-01,-2.200e-01,0.0542,,,88.00,,,1133.0,,,389.62,365.71,-117.40,6075.00,189.00,-210.00,-0.1200,0.2500,-0.3500,0.9690,0.3000,-0.1000,1.0480,0.1390,-0.1390,298.456850,48.791592,15.395
11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,19.651209505,5.8620000e-06,-5.8620000e-06,1.1766e+04,2.770e+01,-2.770e+01,12.42,3.920e+00,-1.690e+00,0.1433,,,88.27,,,730.0,,,67.03,62.46,-23.51,6074.00,168.00,-210.00,-0.1200,0.3000,-0.3000,1.0630,0.3360,-0.1440,1.0140,0.1530,-0.1260,291.093900,48.933842,15.536
9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1.0000,5.412203927,3.0520000e-06,-3.0520000e-06,6.0160e+02,4.000e+00,-4.000e+00,2.94,4.300e-01,-3.800e-01,0.0591,,,85.12,,,1093.0,,,337.68,137.29,-102.18,5779.00,104.00,-115.00,-0.0600,0.1500,-0.1500,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540,287.887330,46.276241,12.791
11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.9980,41.439586620,7.5570000e-05,-7.5570000e-05,2.7931e+03,2.260e+01,-2.260e+01,5.50,1.570e+00,-9.600e-01,0.2288,,,89.31,,,516.0,,,16.72,14.66,-6.64,5468.00,180.00,-164.00,0.2200,0.2000,-0.3000,1.0460,0.2970,-0.1830,0.9300,0.0920,-0.0740,295.555050,49.017342,15.400
11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1.0000,8.353895230,1.5240000e-05,-1.5240000e-05,1.0416e+03,2.820e+01,-2.820e+01,2.52,5.400e-01,-2.400e-01,0.0768,,,89.95,,,790.0,,,91.90,59.06,-24.15,5592.00,152.00,-152.00,-0.2800,0.3000,-0.3000,0.7870,0.1690,-0.0730,0.8620,0.0890,-0.0970,285.499240,49.277351,15.317
11403044,K00766.01,Kepler-669 b,CONFIRMED,CANDIDATE,1.0000,4.125543472,3.1330000e-06,-3.1330000e-06,1.4873e+03,1.330e+01,-1.330e+01,4.43,1.440e+00,-5.100e-01,0.0529,,,85.95,,,1243.0,,,565.35,542.47,-188.14,6174.00,173.00,-239.00,0.1000,0.2000,-0.3000,1.1030,0.3580,-0.1280,1.1620,0.1580,-0.1580,291.936160,49.253979,15.506
11414511,K00767.01,Kepler-670 b,CONFIRMED,CANDIDATE,1.0000,2.816504904,1.6500000e-07,-1.6500000e-07,1.6814e+04,1.100e+01,-1.100e+01,12.21,1.620e+00,-8.700e-01,0.0383,,,89.37,,,1219.0,,,521.13,184.34,-97.95,5532.00,74.00,-83.00,0.1400,0.1500,-0.1500,0.9550,0.1270,-0.0680,0.9410,0.0530,-0.0470,297.015470,49.225288,15.052
11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,33.933734470,6.1540000e-05,-6.1540000e-05,8.5037e+03,4.430e+01,-4.430e+01,7.34,9.000e-01,-6.000e-01,0.1881,,,86.45,,,430.0,,,8.11,3.25,-2.06,5040.00,136.00,-151.00,-0.2400,0.3000,-0.3000,0.7050,0.0860,-0.0580,0.7820,0.0630,-0.0870,284.172330,49.360722,15.716
12110942,K00786.01,Kepler-680 b,CONFIRMED,CANDIDATE,1.0000,3.689920099,8.9820000e-06,-8.9820000e-06,4.2670e+02,1.380e+01,-1.380e+01,1.89,5.400e-01,-2.000e-01,0.0469,,,89.19,,,1147.0,,,408.99,342.24,-123.32,5880.00,157.00,-192.00,-0.0600,0.3000,-0.3000,0.9170,0.2620,-0.0980,1.0100,0.1160,-0.1390,291.622410,50.618240,15.242
12366084,K00787.01,Kepler-232 b,CONFIRMED,CANDIDATE,1.0000,4.431238488,6.1060000e-06,-6.1060000e-06,1.0109e+03,1.520e+01,-1.520e+01,3.25,4.700e-01,-2.500e-01,0.0529,,,87.72,,,1104.0,,,351.23,135.26,-68.33,5714.00,77.00,-77.00,0.1600,0.1500,-0.1500,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620,295.816160,51.121738,15.367
